name,first_impression,description,visited,x_coordinate,y_coordinate,solution_item,active,north_exit,east_exit,south_exit,west_exit
Graveyard,"The heavy fog seeps into the grave you have desecrated, Lady Beaumont's poor bones lay inert at the bottom. Her golden ring gleams in the partial moonlight. The chanting from the chapel to the East grows louder, piquing your interest. To the South you can see the dog kennel.","The heavy fog seeps into the grave you have desecrated, Lady Beaumont's bones lay inert at the bottom. The chanting continues from the chapel to the East. To the South you can see the dog kennel.",0,2,1,"shovel",0,0,1,1,0
Chapel-north,"As you open the door to the chapel you can peer down the shadowy aisle to the alter. Candles line the walkway revealing mysterious figures in robes standing in rows. The chanting grows zealous, but the figures keep their gazes focused on the alter. You perceive a figure splayed upon the alter","Candles line the walkway revealing mysterious figures in robes standing in rows. No longer chanting, their focus on the alter does not waver. The main door leads back to the graveyard to the West. The cultists are at the alter to your South.",0,3,1,,1,0,0,1,1
Kitchen,"After climbing through the secret entrance behind the painting, it falls back into place behind you. A stench assaults your nostrils, redolent of spoiled food. Rusted knives protrude vertically from where they have been stabbed into the counter. Slashed into the cabinets, in a deranged scrawl, are the words ""MAKE YOUR OWN DAMN QUICHE, DAN!"" A door is located to the East.","A stench assaults your nostrils, redolent of spoiled food. Rusted knives protrude vertically from where they have been stabbed into the counter. Slashed into the cabinets, in a deranged scrawl, are the words ""MAKE YOUR OWN DAMN QUICHE, DAN!"" A door is located to the East.",0,0,2,,1,1,1,0,0
Intake,"You step out of the frigid fog into the mansion proper, you can hear a crash of thunder roar just outside. In front of you there is a reception desk boasting a few notes scattered across it. On its front edge, stands a placard with the name ""Kelsey"". A door with a combination lock is to the North. To the West is a door missing a doorknob.","In front of you there is a reception desk that has a few notes scattered across its surface. There is a door with a combination lock to the North. To the West there is a door without a doorknob.",0,1,2,combination,1,0,1,1,0
Intake,"After inputting the code, you remove the combination lock from the door with a small tug. To the West stands a door without a doorknob.","In front of you is a reception desk that has a few notes scattered across its surface. The door to the North is open. The door to the West is missing a doorknob.",0,1,2,combination,0,1,1,1,0
Warden's-Office,"You find yourself in a room with a large imposing desk spanning 15 feet. The unnecessarily large portrait of the warden, which hangs menacingly over the room, appears to be watching you. An antique head-cage is modeled by a faceless mannequin in the corner. The room is eerily quiet, muffling the sounds of its surroundings. You can actually hear a breeze blow the scattered papers across the desk. The breeze, along with the dim light in the room, is coming from the East wall, where an open window looks out onto a small courtyard.","You find yourself in a room with a large imposing desk spanning 15 feet. The unnecessarily large portrait of the warden, which hangs menacingly over the room, appears to be watching you. An antique head-cage is modeled by a faceless mannequin in the corner. The room is eerily quiet, muffling the sounds of its surroundings. You can actually hear a breeze blow the scattered papers across the desk. The breeze, along with the dim light in the room, is coming from the East wall, where an open window looks out onto a small courtyard.",0,2,2,,1,1,1,0,0
Escape-courtyard,"You shimmy down into the courtyard. You're finally free of that terrifying place! You head back to tell the other kids what you saw... but will anyone believe you?","You shimmy down into the courtyard. You're finally free of that terrifying place! You head back to tell the other kids what you saw... but will anyone believe you?",0,3,2,,1,0,1,0,1
Dining-Room,"You are greeted by a pungent smell that sends bile up to the back of your throat. A banquet table extends 20 feet across the room, set with china and fine silver. Serving trays bedeck the table, filled with a mold encrusted feast. This is the source of the rancid smell that fills the room. Numerous portraits surround the room lorded over by a singular image nearly ten feet in height on the South wall. The grand painting is tilted dramatically to one side and has a plaque that reads ""Warden Nathaniel Beaumont 1817-1896"". The floor below the image bears a number of deep scratches","You are greeted by a pungent smell that sends bile up to the back of your throat. A banquet table extends 20 feet across the room, set with china and fine silver. Serving trays bedeck the table, filled with a mold encrusted feast. This is the source of the rancid smell that fills the room. Numerous portraits surround the room lorded over by a singular image nearly ten feet in height on the South wall. The grand painting is tilted dramatically to one side and has a plaque that reads ""Warden Nathaniel Beaumont 1817-1896"". The floor below the image bears a number of deep scratches. You wish you never came back here.",0,0,3,,1,0,1,1,0
Common-Room,"You walk into the dark common room where there are couches and tables covered in white sheets. To the West stands a large elegant door that has gold engravings encircling its edge. To the North you see a heavy metal door bearing a plaque that reads ""Ward C"".","There are couches and tables covered in white sheets. To the West stands a large elegant door that has gold engravings encircling its edge. To the North is a heavy metal door bearing a plaque that reads ""Ward C"".",0,1,3,,1,1,0,1,1
Infirmary,"As you enter the infirmary, a smell of decay wafts through the air. A spotless desk in the corner supports an office organizer with stacks of files. In the center of the room a decrepit chair is surrounded by small carts bearing surgical in tools. A brick colored stain trails from the chair to the carts and then to the drain in the center of the floor. To the South is a door with a sturdy lock. Upon further inspection, there is a key that has been broken off inside the lock. You will have to find another way through this door. To the East is a door slightly ajar bearing a plaque stating ""Apothecary"". To the North are the cells of Ward C.","As you enter the infirmary, a smell of decay wafts through the air. A spotless desk in the corner supports an office organizer with stacks of files. In the center of the room a decrepit chair is surrounded by small carts bearing surgical in tools. A brick colored stain trails from the chair to the carts and then to the drain in the center of the floor. To the South is a door with a sturdy lock. Upon further inspection, there is a key that has been broken off inside the lock. You will have to find another way through this door. To the East is a door slightly ajar bearing a plaque stating ""Apothecary"". To the North are the cells of Ward C.",0,2,3,Beaker,1,1,1,0,0
Infirmary,"The lock falls to the floor with a thunk, punctuating the hiss of melting metal as the door comes free. You can now turn the shiny doorknob easily. To the North is the cells of Ward C, and to the East the Apothecary","The lock falls to the floor with a thunk, punctuating the hiss of melting metal as the door comes free. You can now turn the shiny doorknob easily. To the North is the cells of Ward C, and to the East the Apothecary.",0,2,3,Beaker,0,1,1,1,0
Apothecary,"You enter the apothecary. There is a strong smell of stale herbs overlaid with acrid chemicals. Bushels of dried flowers hang from the ceiling and the light from the dim candles reflect off the bottles that line three of the four walls. Upon inspection, the bottle labels tell of bizarre contents: deadly nightshade, frogs breath, a rat foetus absolutely still in its liquid prison, and a monkey's paw. Equipment for mixing chemicals fill the table along the wall, with a vial of reddish-purple liquid heating slowly over a bunsen burner. Outside the door to the West is the infirmary from which you came.","You enter the apothecary. There is a strong smell of stale herbs overlaid with acrid chemicals. Bushels of dried flowers hang from the ceiling and the light from the dim candles reflect off the bottles that line three of the four walls. Upon inspection, the bottle labels tell of bizarre contents: deadly nightshade, frogs breath, a rat foetus absolutely still in its liquid prison, and a monkey's paw. Equipment for mixing chemicals fill the table along the wall, with a vial of reddish-purple liquid heating slowly over a bunsen burner. Outside the door to the West is the infirmary from which you came.",0,3,3,vial,1,0,0,0,1
Apothecary,"You carefully remove the reddish-purple vial from the bunsen burner and combine it with the fishman's vial by pouring them into a handy beaker. The two liquids mix and create a new yellowish-orange solvent. A stray drop escapes when you seal the new vial and hits the table, hissing as it burns through the metal. This could be useful. You seem to have created a beaker full of acid. The exit to the infirmary is to your West.","You enter the apothecary. There is a strong smell of stale herbs overlaid with acrid chemicals. Bushels of dried flowers hang from the ceiling and the light from the dim candles reflect off the bottles that line three of the four walls. Upon inspection, the bottle labels tell of bizarre contents: deadly nightshade, frogs breath, a rat foetus absolutely still in its liquid prison, and a monkey's paw. Equipment for mixing chemicals fill the table along the wall. The table is still smoking from the hole you burned through it with the acid. Outside the door to the West is the infirmary from which you came.",0,3,3,vial,0,0,0,0,1
West-Cells,"It is pitch black, you can hear the sound of slithering against concrete. You are likely to be eaten by a Grue. You should leave to the East.","It is pitch black, you can hear the sound of slithering against concrete. You are likely to be eaten by a Grue. You should leave to the East.",0,0,4,,1,0,1,0,0
Center-Cells,"Prying back the heavy metal door with a loud and jarring screech, you enter the cells of the asylum. The metal bars for the individual cells are damaged and destroyed cloth shreds that may have once been bedding litter the area. You notice a certain stickiness on the floor near the drains. Faint moans and an occasional screech indicate that there might be a few inhabitants creeping around while the less fortunate still rot in their cells. The lights fade into the West end of the cell leading into a dark corridor. To the East you can hear wailing but are unable to determine the source in the dimly lit conditions. To the South you can return to the common room.","Prying back the heavy metal door with a loud and jarring screech, you enter the cells of the asylum. The metal bars for the individual cells are damaged and destroyed cloth shreds that may have once been bedding litter the area. You notice a certain stickiness on the floor near the drains. Faint moans and an occasional screech indicate that there might be a few inhabitants creeping around while the less fortunate still rot in their cells. The lights fade into the West end of the cell leading into a dark corridor. To the East you can hear wailing but are unable to determine the source in the dimly lit conditions. To the South you can return to the common room.",0,1,4,,1,0,1,1,1
East-Cells,"The wailing grows louder and out of the shadows you can see the apparition of a weeping woman in the corner. Her head turns slowly and she lets out a piercing shriek. She blocks your path but there are two doors behind her, one to the East and another to the South. You can return to the cells to the West.","The apparition remains, its gaze remaining locked onto yours. A chill runs up your spine as you read the signs next to the doors behind the ghost. The East door reads ""Baths"" and the South says ""Infirmary"".",0,2,4,ring,1,0,0,0,1
East-Cells,"The wailing stops and you witness the apparition glow before fading away. Reunited with her ring, Lady Beaumont can rest peacefully. You can now enter the baths to your East and the infirmary to your South. To the West are the rest of the cells of Ward C.","This section of Ward C is now quiet. You can enter the baths to your East and the infirmary to your South. To the West you will find the rest of Ward C.",0,2,4,ring,0,0,1,1,1
Baths,"You step inside of the baths to find that the water is still running hot. Steam fills the air, partially obscuring the greenish tile of the baths. From the back of the showers you glimpse a wet scaly figure with jagged teeth standing hunched under a shower head. It is a fishman. You notice a vial with a blueish-green substance hanging from a chain around his neck, perhaps the only sign of his human origins.","You step inside of the baths to find that the water is still running hot. Steam fills the air, partially obscuring the greenish tile of the baths. From the back of the showers you glimpse a wet scaly figure with jagged teeth standing hunched under a shower head. It is a fishman. You notice a vial with a blueish-green substance hanging from a chain around his neck, perhaps the only sign of his human origins.",0,3,4,harpoon gun,1,0,1,1,1
Baths,"The fishman appears to liquify, leaving a green streak as his melted form runs to the drain. He is defeated, dragging the harpoon shaft down below with him. The vial on his necklace is left behind.","The streak of goop remains. Emanating from the drain you can hear grunts and short roars.",0,3,4,harpoon gun,0,0,1,1,1
