name,first_impression,description,visited,x_coordinate,y_coordinate,solution_item,active,north_exit,east_exit,south_exit,west_exit
Graveyard,"The heavy fog seeps into the grave you have desecrated, Lady Beaumont's poor bones lie inert at the bottom. Her gold ring gleams in the partial moonlight. The chanting from the chapel to the East grows louder, piquing your interest. To the South you can see the dog kennel.","The heavy fog seeps into the grave you have desecrated, Lady Beaumont's bones lie inert at the bottom. The chanting continues from the chapel to the East. To the South you can see the dog kennel.",0,2,1,"shovel",0,0,1,1,0
Chapel-north,"As you open the door to the chapel you can peer down the shadowy aisle to the altar. Candles line the walkway revealing rows of mysterious robed figures. The chanting grows zealous, but the figures keep their gazes focused on the altar. You perceive a figure splayed upon the altar. You can move South toward the altar or West to return to the graveyard.","Candles line the walkway revealing mysterious figures in robes standing in rows. Their chanting resumed, the focus on the altar does not waver. The main door leads back to the graveyard to the West. A small group of cultists in different robes are gathered at the altar to your South.",0,3,1,,1,0,0,1,1
Kitchen,"After climbing through the secret entrance behind the painting, it falls back into place behind you. As you tumble into the kitchen, a stench assaults your nostrils, redolent of spoiled food. Rusted knives protrude vertically from where they have been stabbed into the counter. Slashed into the cabinets, in a deranged scrawl, are the words ""MAKE YOUR OWN DAMN QUICHE, DAN!"" A door is located to the East.","A stench assaults your nostrils, redolent of spoiled food. Rusted knives protrude vertically from where they have been stabbed into the counter. Slashed into the cabinets, in a deranged scrawl, are the words ""MAKE YOUR OWN DAMN QUICHE, DAN!"" A door is located to the East.",0,0,2,,1,1,1,0,0
Intake,"You step out of the frigid fog into the mansion proper, you can hear a muted crash of thunder just outside. In front of you there is a reception desk boasting a few notes scattered across its surface. On its front edge, stands a placard with the name ""Kelsey"". A locked door with a card-sized slot below the doorknob is to the North. To the West is a door missing a doorknob.","In front of you there is a reception desk that has a few notes scattered across its surface. There is a locked door to the North with card-sized slot beneath the doorknob. To the West there is a door without a doorknob. To the South is the veranda from whence you entered the mansion.",0,1,2,keycard,1,0,0,1,0
Intake,"After inserting the card, you can feel a subtle click from inside the mechanism and the North door opens. To the West stands a door without a doorknob.","In front of you is a reception desk that has a few notes scattered across its surface. The door to the North is open. The door to the West is missing a doorknob. To the South is the veranda from whence you entered the mansion.",0,1,2,keycard,0,1,0,1,0
Warden's-Office,"You find yourself in a room with a large imposing desk spanning 15 feet. The unnecessarily large portrait of the warden, which hangs menacingly over the room, appears to be watching you. An antique head-cage is modeled by a faceless mannequin in the corner. The room is eerily quiet, muffling the sounds of its surroundings. You can actually hear a breeze blow the scattered papers across the desk. The breeze, along with the dim light in the room, is coming from the East wall, where an open window looks out onto a small courtyard.","The desk and portrait loom over the eerily quiet room, and the head-caged mannequin lurks in the corner. A breeze blows towards you from the East wall, where an open window looks out onto a small courtyard.",0,2,2,,1,1,1,0,0
Escape-courtyard,"You shimmy down into the courtyard. You're finally free of that terrifying place! You head back to tell the other kids what you saw... but will anyone believe you?","You shimmy down into the courtyard. You're finally free of that terrifying place! You head back to tell the other kids what you saw... but will anyone believe you?",0,3,2,,1,0,1,0,1
Dining-Room,"You are greeted by a pungent smell that sends bile up the back of your throat. A banquet table extends 20 feet across the room, set with china and fine silver. Serving trays bedeck the table, filled with a mold-encrusted feast. This is the source of the rancid smell that fills the room. Numerous portraits surround the room lorded over by a singular image nearly ten feet in height on the South wall. The grand painting is tilted dramatically to one side and has a plaque that reads ""Lord Nathaniel Beaumont 1817-1896."" The floor below the image bears a number of deep scratches.","The pungent smell of the moldy feast has not improved. The grand painting of Lord Beaumont is tilted dramatically to one side, below which the floor bears deep scratches. You wish you never came back here.",0,0,3,,1,0,1,1,0
Common-Room,"You walk into the dark common room where there are couches and tables covered in white sheets. To the West stands a large elegant door that has gold engravings encircling its edge. To the North you see a heavy metal door bearing a plaque that reads ""Ward C.""","There are couches and tables covered in white sheets. To the West stands a large elegant door that has gold engravings encircling its edge. To the North is a heavy metal door bearing a plaque that reads ""Ward C.""",0,1,3,,1,1,0,1,1
Infirmary,"As you enter the infirmary, a smell of decay wafts through the air. A spotless desk in the corner supports an office organizer with stacks of files. In the center of the room a decrepit chair is surrounded by small carts bearing surgical tools. A brick colored stain trails from the chair to the carts and then to the drain in the center of the floor. To the South is a door with a sturdy lock. Upon further inspection, there is a key that has been broken off inside the lock. You will have to find another way to deal with the lock. To the East is a door slightly ajar bearing a plaque stating ""Apothecary"". To the North are the cells of Ward C.","The infirmary remains stained and discomfiting. To the South is a door with a sturdy lock, with a key broken off inside it. You will have to find a way to deal with the lock. To the East is a door slightly ajar bearing a plaque stating ""Apothecary"". To the North are the cells of Ward C.",0,2,3,Beaker of Acid,1,1,1,0,0
Infirmary,"The lock falls to the floor with a thunk, punctuating the hiss of melting metal as the door comes free. You can now turn the shiny doorknob easily. To the North is the cells of Ward C, and to the East the Apothecary.","There's a lock on the floor and you can now turn the shiny doorknob to the South door easily. To the North is the cells of Ward C, and to the East the Apothecary.",0,2,3,Beaker of Acid,0,1,1,1,0
Apothecary,"You enter the apothecary. There is a strong smell of stale herbs overlaid with acrid chemicals. Bundles of dried flowers hang from the ceiling and the light from the dim candles reflect off the bottles that line three of the four walls. Upon inspection, the bottle labels tell of bizarre contents: deadly nightshade, frogs breath, a rat foetus, and a monkey's paw. Equipment for mixing chemicals dominate the table along the wall, with a vial of reddish-purple liquid heating slowly over a bunsen burner. Outside the door to the West is the infirmary from which you came.","Disturbing bottles line the walls, and the scents of herbs and chemicals clash in your nostrils. Equipment for mixing chemicals dominate the table along the wall, with a vial of reddish-purple liquid heating slowly over a bunsen burner. Outside the door to the West is the infirmary from which you came.",0,3,3,vial,1,0,0,0,1
Apothecary,"You carefully remove the reddish-purple vial from the bunsen burner and pour it into a handy beaker, combining it with the liquid from the fishman's vial. The two liquids mix and create a new yellowish-orange solvent. A stray drop escapes when you seal the new vial and hits the table, hissing as it burns through the metal. This could be useful. You seem to have created a beaker full of acid. The exit to the infirmary is to your West.","Disturbing bottles line the walls, and the scents of herbs and chemicals clash in your nostrils. Equipment for mixing chemicals dominate the table, which still smokes from the hole you burned. Outside the door to the West is the infirmary from which you came.",0,3,3,vial,0,0,0,0,1
West-Cells,"It is pitch black, you can hear the sound of slithering against concrete. You are likely to be eaten by a Grue. You should leave to the East.","It is pitch black, you can hear the sound of slithering against concrete. You are likely to be eaten by a Grue. You should leave to the East.",0,0,4,,1,0,1,0,0
Center-Cells,"Prying back the heavy metal door with a loud and jarring screech, you enter the cells of the asylum. The metal bars for the individual cells are damaged and destroyed.  Cloth shreds that may have once been bedding litter the area. You notice a certain stickiness on the floor near the drains. Faint moans and an occasional screech indicate that there might be a few inhabitants creeping around while the less fortunate still rot in their cells. The lights fade into darkness at the West most cells leading into a shadowy corridor. To the East you can hear bereft wailing but are unable to determine the source in the dimly lit conditions. To the South you can return to the common room.","Back in the cells, you step through drifts of shredded cloth, dodging the sticky materials by the drains. Faint moans and an occasional screech indicate that you might not be alone in the asylum. The dimly lit corridor fades into pitch black to the West. To the East you can hear bereft wailing. To the South you can return to the common room.",0,1,4,,1,0,1,1,1
East-Cells,"The wailing grows louder and out of the shadows you can see the apparition of a weeping woman in the corner. Her head turns slowly and she lets out a piercing shriek. She blocks your access to the two doors behind her, one to the East and another to the South. You can return to the cells to the West.","The apparition remains, its gaze locked onto yours. A chill runs up your spine as you read the signs next to the doors behind the ghost. The East door reads ""Baths"" and the South says ""Infirmary.""",0,2,4,ring,1,0,0,0,1
East-Cells,"The wailing stops and, as you watch, the apparition glows brightly before fading away. Reunited with her ring, Lady Beaumont can rest peacefully. You can now enter the baths to your East and the infirmary to your South. To the West are the rest of the cells of Ward C.","This section of Ward C is now quiet. You can enter the baths to your East and the infirmary to your South. To the West you will find the rest of Ward C.",0,2,4,ring,0,0,1,1,1
Baths,"You step inside of the baths to find that someone left the hot water running. Steam fills the air, partially obscuring the greenish tile of the baths. From the back of the showers you glimpse a wet scaly figure with jagged teeth hunched under a shower head. It is a fishman. You notice a vial with a blueish-green substance hanging from a chain around his neck, perhaps the only sign of his human origins.","You step inside of the baths to find that the hot water is still running. Steam fills the air, partially obscuring the greenish tile of the baths. From the back of the showers you glimpse a wet scaly figure with jagged teeth hunched under a shower head. It is a fishman. You notice a vial with a blueish-green substance hanging from a chain around his neck, perhaps the only sign of his human origins.",0,3,4,harpoon gun,1,0,1,0,1
Baths,"The harpoon bolt leaves the gun and lodges in the fishman's midsection. He dives for a large drain, and the gun, still connected to the bolt, is wrenched from your hands. His necklace catches on a faucet and is left behind. From deep within the drain, the fishman's voice burbles: 'Did you want the vial? Why didn't you just ask me?' Seriously, what did he ever do to you?","The baths are empty. You can hear distant, disgruntled burbles from the drain.",0,3,4,harpoon gun,0,0,1,0,1
